Teleconnexió,Fase,Variable,Subregió,Estació,Període,Anomalia mitjana,Unitat,N mesos
NAO,Negativa,Temperatura,Golf del Lleó,Estiu,1981-1990,-0.3722,°C,12
NAO,Negativa,Temperatura,Golf del Lleó,Estiu,1991-2000,-0.5194,°C,11
NAO,Negativa,Temperatura,Golf del Lleó,Estiu,2001-2010,0.0904,°C,18
NAO,Negativa,Temperatura,Golf del Lleó,Estiu,2011-2020,0.5967,°C,16
NAO,Negativa,Temperatura,Golf del Lleó,Tardor,Tots,-0.2665,°C,66
NAO,Negativa,Temperatura,Golf del Lleó,Tardor,1981-1990,-0.2452,°C,16
NAO,Negativa,Temperatura,Golf del Lleó,Tardor,1991-2000,-0.6578,°C,17
NAO,Negativa,Temperatura,Golf del Lleó,Tardor,2001-2010,-0.498,°C,18
NAO,Negativa,Temperatura,Golf del Lleó,Tardor,2011-2020,0.4322,°C,15
NAO,Negativa,Temperatura,Mediterrani central occidental,Hivern,Tots,-0.2335,°C,28
NAO,Negativa,Temperatura,Mediterrani central occidental,Hivern,1981-1990,-0.3283,°C,8
NAO,Negativa,Temperatura,Mediterrani central occidental,Hivern,1991-2000,0.8632,°C,5
NAO,Negativa,Temperatura,Mediterrani central occidental,Hivern,2001-2010,-0.6262,°C,13
NAO,Negativa,Temperatura,Mediterrani central occidental,Hivern,2011-2020,-0.0426,°C,2
NAO,Negativa,Temperatura,Mediterrani central occidental,Primavera,Tots,-0.1012,°C,40
NAO,Negativa,Temperatura,Mediterrani central occidental,Primavera,1981-1990,-0.6451,°C,12
NAO,Negativa,Temperatura,Mediterrani central occidental,Primavera,1991-2000,0.0596,°C,11
NAO,Negativa,Temperatura,Mediterrani central occidental,Primavera,2001-2010,0.0478,°C,10
NAO,Negativa,Temperatura,Mediterrani central occidental,Primavera,2011-2020,0.3656,°C,7
NAO,Negativa,Temperatura,Mediterrani central occidental,Estiu,Tots,0.1521,°C,57
NAO,Negativa,Temperatura,Mediterrani central occidental,Estiu,1981-1990,-0.2233,°C,12
NAO,Negativa,Temperatura,Mediterrani central occidental,Estiu,1991-2000,-0.1645,°C,11
NAO,Negativa,Temperatura,Mediterrani central occidental,Estiu,2001-2010,0.1193,°C,18
NAO,Negativa,Temperatura,Mediterrani central occidental,Estiu,2011-2020,0.6883,°C,16
NAO,Negativa,Temperatura,Mediterrani central occidental,Tardor,Tots,-0.0466,°C,66
NAO,Negativa,Temperatura,Mediterrani central occidental,Tardor,1981-1990,-0.0573,°C,16
NAO,Negativa,Temperatura,Mediterrani central occidental,Tardor,1991-2000,-0.2101,°C,17
NAO,Negativa,Temperatura,Mediterrani central occidental,Tardor,2001-2010,-0.3675,°C,18
NAO,Negativa,Temperatura,Mediterrani central occidental,Tardor,2011-2020,0.5354,°C,15
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Hivern,Tots,0.02,m3/m3,28
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Hivern,1981-1990,0.015,m3/m3,8
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Hivern,1991-2000,0.0412,m3/m3,5
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Hivern,2001-2010,0.0188,m3/m3,13
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Hivern,2011-2020,-0.0052,m3/m3,2
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Primavera,Tots,0.0182,m3/m3,40
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Primavera,1981-1990,0.0218,m3/m3,12
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Primavera,1991-2000,0.01,m3/m3,11
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Primavera,2001-2010,0.0208,m3/m3,10
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Primavera,2011-2020,0.0213,m3/m3,7
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Estiu,Tots,0.0023,m3/m3,57
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Estiu,1981-1990,0.0162,m3/m3,12
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Estiu,1991-2000,0.0088,m3/m3,11
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Estiu,2001-2010,-0.0014,m3/m3,18
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Estiu,2011-2020,-0.0084,m3/m3,16
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Tardor,Tots,0.0095,m3/m3,66
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Tardor,1981-1990,0.0282,m3/m3,16
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Tardor,1991-2000,0.0072,m3/m3,17
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Tardor,2001-2010,-0.007,m3/m3,18
NAO,Negativa,Humitat del sòl,Llevant Ibèric,Tardor,2011-2020,0.012,m3/m3,15
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Hivern,Tots,0.0124,m3/m3,28
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Hivern,1981-1990,0.0078,m3/m3,8
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Hivern,1991-2000,0.0351,m3/m3,5
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Hivern,2001-2010,0.0092,m3/m3,13
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Hivern,2011-2020,-0.0048,m3/m3,2
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Primavera,Tots,0.0129,m3/m3,40
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Primavera,1981-1990,0.0225,m3/m3,12
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Primavera,1991-2000,-0.0085,m3/m3,11
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Primavera,2001-2010,0.0177,m3/m3,10
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Primavera,2011-2020,0.0233,m3/m3,7
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Estiu,Tots,0.0022,m3/m3,57
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Estiu,1981-1990,0.0078,m3/m3,12
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Estiu,1991-2000,0.0024,m3/m3,11
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Estiu,2001-2010,-0.0026,m3/m3,18
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Estiu,2011-2020,0.0033,m3/m3,16
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Tardor,Tots,0.0057,m3/m3,66
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Tardor,1981-1990,0.0134,m3/m3,16
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Tardor,1991-2000,0.0043,m3/m3,17
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Tardor,2001-2010,-0.0043,m3/m3,18
NAO,Negativa,Humitat del sòl,Catalunya-Balears,Tardor,2011-2020,0.0111,m3/m3,15
NAO,Negativa,Humitat del sòl,Golf del Lleó,Hivern,Tots,0.0064,m3/m3,28
NAO,Negativa,Humitat del sòl,Golf del Lleó,Hivern,1981-1990,0.0031,m3/m3,8
NAO,Negativa,Humitat del sòl,Golf del Lleó,Hivern,1991-2000,0.0217,m3/m3,5
NAO,Negativa,Humitat del sòl,Golf del Lleó,Hivern,2001-2010,0.003,m3/m3,13
NAO,Negativa,Humitat del sòl,Golf del Lleó,Hivern,2011-2020,0.0036,m3/m3,2
NAO,Negativa,Humitat del sòl,Golf del Lleó,Primavera,Tots,0.0094,m3/m3,40
NAO,Negativa,Humitat del sòl,Golf del Lleó,Primavera,1981-1990,0.0212,m3/m3,12
NAO,Negativa,Humitat del sòl,Golf del Lleó,Primavera,1991-2000,-0.0042,m3/m3,11
NAO,Negativa,Humitat del sòl,Golf del Lleó,Primavera,2001-2010,0.011,m3/m3,10
NAO,Negativa,Humitat del sòl,Golf del Lleó,Primavera,2011-2020,0.0084,m3/m3,7
NAO,Negativa,Humitat del sòl,Golf del Lleó,Estiu,Tots,0.0018,m3/m3,57
NAO,Negativa,Humitat del sòl,Golf del Lleó,Estiu,1981-1990,0.0058,m3/m3,12
NAO,Negativa,Humitat del sòl,Golf del Lleó,Estiu,1991-2000,0.0079,m3/m3,11
NAO,Negativa,Humitat del sòl,Golf del Lleó,Estiu,2001-2010,0.0007,m3/m3,18
NAO,Negativa,Humitat del sòl,Golf del Lleó,Estiu,2011-2020,-0.0044,m3/m3,16
NAO,Negativa,Humitat del sòl,Golf del Lleó,Tardor,Tots,0.0069,m3/m3,66
NAO,Negativa,Humitat del sòl,Golf del Lleó,Tardor,1981-1990,0.0041,m3/m3,16
NAO,Negativa,Humitat del sòl,Golf del Lleó,Tardor,1991-2000,0.0232,m3/m3,17
NAO,Negativa,Humitat del sòl,Golf del Lleó,Tardor,2001-2010,-0.0016,m3/m3,18
NAO,Negativa,Humitat del sòl,Golf del Lleó,Tardor,2011-2020,0.0016,m3/m3,15
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Hivern,Tots,0.0157,m3/m3,28
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Hivern,1981-1990,0.01,m3/m3,8
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Hivern,1991-2000,0.0141,m3/m3,5
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Hivern,2001-2010,0.0184,m3/m3,13
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Hivern,2011-2020,0.0244,m3/m3,2
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Primavera,Tots,0.0112,m3/m3,40
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Primavera,1981-1990,0.0147,m3/m3,12
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Primavera,1991-2000,-0.0094,m3/m3,11
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Primavera,2001-2010,0.0269,m3/m3,10
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Primavera,2011-2020,0.0149,m3/m3,7
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Estiu,Tots,0.0004,m3/m3,57
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Estiu,1981-1990,-0.006,m3/m3,12
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Estiu,1991-2000,0.0037,m3/m3,11
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Estiu,2001-2010,0.0017,m3/m3,18
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Estiu,2011-2020,0.0015,m3/m3,16
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Tardor,Tots,0.0068,m3/m3,66
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Tardor,1981-1990,-0.01,m3/m3,16
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Tardor,1991-2000,0.0106,m3/m3,17
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Tardor,2001-2010,0.0146,m3/m3,18
NAO,Negativa,Humitat del sòl,Mediterrani central occidental,Tardor,2011-2020,0.0111,m3/m3,15
NAO,Negativa,SST,Llevant Ibèric,Hivern,Tots,-0.1778,°C,28
NAO,Negativa,SST,Llevant Ibèric,Hivern,1981-1990,-0.2222,°C,8
NAO,Negativa,SST,Llevant Ibèric,Hivern,1991-2000,0.1745,°C,5
NAO,Negativa,SST,Llevant Ibèric,Hivern,2001-2010,-0.3221,°C,13
NAO,Negativa,SST,Llevant Ibèric,Hivern,2011-2020,0.057,°C,2
NAO,Negativa,SST,Llevant Ibèric,Primavera,Tots,-0.1735,°C,40
NAO,Negativa,SST,Llevant Ibèric,Primavera,1981-1990,-0.4982,°C,12
NAO,Negativa,SST,Llevant Ibèric,Primavera,1991-2000,0.0084,°C,11
NAO,Negativa,SST,Llevant Ibèric,Primavera,2001-2010,-0.1098,°C,10
NAO,Negativa,SST,Llevant Ibèric,Primavera,2011-2020,0.0063,°C,7
NAO,Negativa,SST,Llevant Ibèric,Estiu,Tots,0.1424,°C,57
NAO,Negativa,SST,Llevant Ibèric,Estiu,1981-1990,-0.3952,°C,12
NAO,Negativa,SST,Llevant Ibèric,Estiu,1991-2000,-0.1646,°C,11
NAO,Negativa,SST,Llevant Ibèric,Estiu,2001-2010,0.2324,°C,18
NAO,Negativa,SST,Llevant Ibèric,Estiu,2011-2020,0.6555,°C,16
NAO,Negativa,SST,Llevant Ibèric,Tardor,Tots,-0.0398,°C,66
NAO,Negativa,SST,Llevant Ibèric,Tardor,1981-1990,0.0469,°C,16
NAO,Negativa,SST,Llevant Ibèric,Tardor,1991-2000,-0.53,°C,17
NAO,Negativa,SST,Llevant Ibèric,Tardor,2001-2010,-0.0892,°C,18
NAO,Negativa,SST,Llevant Ibèric,Tardor,2011-2020,0.4827,°C,15
NAO,Negativa,SST,Catalunya-Balears,Hivern,Tots,-0.2105,°C,28
NAO,Negativa,SST,Catalunya-Balears,Hivern,1981-1990,-0.2027,°C,8
NAO,Negativa,SST,Catalunya-Balears,Hivern,1991-2000,0.0909,°C,5
NAO,Negativa,SST,Catalunya-Balears,Hivern,2001-2010,-0.373,°C,13
NAO,Negativa,SST,Catalunya-Balears,Hivern,2011-2020,0.0612,°C,2
NAO,Negativa,SST,Catalunya-Balears,Primavera,Tots,-0.1524,°C,40
NAO,Negativa,SST,Catalunya-Balears,Primavera,1981-1990,-0.5171,°C,12
NAO,Negativa,SST,Catalunya-Balears,Primavera,1991-2000,0.0674,°C,11
NAO,Negativa,SST,Catalunya-Balears,Primavera,2001-2010,-0.153,°C,10
NAO,Negativa,SST,Catalunya-Balears,Primavera,2011-2020,0.128,°C,7
NAO,Negativa,SST,Catalunya-Balears,Estiu,Tots,0.1145,°C,57
NAO,Negativa,SST,Catalunya-Balears,Estiu,1981-1990,-0.3747,°C,12
NAO,Negativa,SST,Catalunya-Balears,Estiu,1991-2000,-0.1857,°C,11
NAO,Negativa,SST,Catalunya-Balears,Estiu,2001-2010,0.1648,°C,18
NAO,Negativa,SST,Catalunya-Balears,Estiu,2011-2020,0.6313,°C,16
NAO,Negativa,SST,Catalunya-Balears,Tardor,Tots,-0.0248,°C,66
NAO,Negativa,SST,Catalunya-Balears,Tardor,1981-1990,-0.108,°C,16
NAO,Negativa,SST,Catalunya-Balears,Tardor,1991-2000,-0.2966,°C,17
NAO,Negativa,SST,Catalunya-Balears,Tardor,2001-2010,-0.0756,°C,18
NAO,Negativa,SST,Catalunya-Balears,Tardor,2011-2020,0.4327,°C,15
NAO,Negativa,SST,Golf del Lleó,Hivern,Tots,-0.2296,°C,28
NAO,Negativa,SST,Golf del Lleó,Hivern,1981-1990,-0.4494,°C,8
NAO,Negativa,SST,Golf del Lleó,Hivern,1991-2000,-0.0806,°C,5
NAO,Negativa,SST,Golf del Lleó,Hivern,2001-2010,-0.1851,°C,13
NAO,Negativa,SST,Golf del Lleó,Hivern,2011-2020,-0.0122,°C,2
NAO,Negativa,SST,Golf del Lleó,Primavera,Tots,-0.1955,°C,40
NAO,Negativa,SST,Golf del Lleó,Primavera,1981-1990,-0.6134,°C,12
NAO,Negativa,SST,Golf del Lleó,Primavera,1991-2000,-0.1071,°C,11
NAO,Negativa,SST,Golf del Lleó,Primavera,2001-2010,-0.0451,°C,10
NAO,Negativa,SST,Golf del Lleó,Primavera,2011-2020,0.1667,°C,7
NAO,Negativa,SST,Golf del Lleó,Estiu,Tots,0.0688,°C,57
NAO,Negativa,SST,Golf del Lleó,Estiu,1981-1990,-0.3883,°C,12
NAO,Negativa,SST,Golf del Lleó,Estiu,1991-2000,-0.2607,°C,11
NAO,Negativa,SST,Golf del Lleó,Estiu,2001-2010,0.0176,°C,18
NAO,Negativa,SST,Golf del Lleó,Estiu,2011-2020,0.6959,°C,16
NAO,Negativa,SST,Golf del Lleó,Tardor,Tots,0.0008,°C,66
