Indicador,Teleconnexió,Fase,Estació,Subregió,Període,Percentatge mesos,N episodis,N mesos
Episodi càlid i sec,NAO,Negativa,Tardor,Mediterrani central occidental,2011-2020,0.0,0,15
Episodi fred i humit,NAO,Negativa,Hivern,Llevant Ibèric,Tots,0.0,0,28
Episodi fred i humit,NAO,Negativa,Hivern,Llevant Ibèric,1981-1990,0.0,0,8
Episodi fred i humit,NAO,Negativa,Hivern,Llevant Ibèric,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Negativa,Hivern,Llevant Ibèric,2001-2010,0.0,0,13
Episodi fred i humit,NAO,Negativa,Hivern,Llevant Ibèric,2011-2020,0.0,0,2
Episodi fred i humit,NAO,Negativa,Primavera,Llevant Ibèric,Tots,5.0,2,40
Episodi fred i humit,NAO,Negativa,Primavera,Llevant Ibèric,1981-1990,8.33,1,12
Episodi fred i humit,NAO,Negativa,Primavera,Llevant Ibèric,1991-2000,0.0,0,11
Episodi fred i humit,NAO,Negativa,Primavera,Llevant Ibèric,2001-2010,10.0,1,10
Episodi fred i humit,NAO,Negativa,Primavera,Llevant Ibèric,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Negativa,Estiu,Llevant Ibèric,Tots,3.51,2,57
Episodi fred i humit,NAO,Negativa,Estiu,Llevant Ibèric,1981-1990,8.33,1,12
Episodi fred i humit,NAO,Negativa,Estiu,Llevant Ibèric,1991-2000,9.09,1,11
Episodi fred i humit,NAO,Negativa,Estiu,Llevant Ibèric,2001-2010,0.0,0,18
Episodi fred i humit,NAO,Negativa,Estiu,Llevant Ibèric,2011-2020,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Llevant Ibèric,Tots,3.03,2,66
Episodi fred i humit,NAO,Negativa,Tardor,Llevant Ibèric,1981-1990,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Llevant Ibèric,1991-2000,11.76,2,17
Episodi fred i humit,NAO,Negativa,Tardor,Llevant Ibèric,2001-2010,0.0,0,18
Episodi fred i humit,NAO,Negativa,Tardor,Llevant Ibèric,2011-2020,0.0,0,15
Episodi fred i humit,NAO,Negativa,Hivern,Catalunya-Balears,Tots,7.14,2,28
Episodi fred i humit,NAO,Negativa,Hivern,Catalunya-Balears,1981-1990,12.5,1,8
Episodi fred i humit,NAO,Negativa,Hivern,Catalunya-Balears,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Negativa,Hivern,Catalunya-Balears,2001-2010,7.69,1,13
Episodi fred i humit,NAO,Negativa,Hivern,Catalunya-Balears,2011-2020,0.0,0,2
Episodi fred i humit,NAO,Negativa,Primavera,Catalunya-Balears,Tots,5.0,2,40
Episodi fred i humit,NAO,Negativa,Primavera,Catalunya-Balears,1981-1990,16.67,2,12
Episodi fred i humit,NAO,Negativa,Primavera,Catalunya-Balears,1991-2000,0.0,0,11
Episodi fred i humit,NAO,Negativa,Primavera,Catalunya-Balears,2001-2010,0.0,0,10
Episodi fred i humit,NAO,Negativa,Primavera,Catalunya-Balears,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Negativa,Estiu,Catalunya-Balears,Tots,3.51,2,57
Episodi fred i humit,NAO,Negativa,Estiu,Catalunya-Balears,1981-1990,0.0,0,12
Episodi fred i humit,NAO,Negativa,Estiu,Catalunya-Balears,1991-2000,9.09,1,11
Episodi fred i humit,NAO,Negativa,Estiu,Catalunya-Balears,2001-2010,5.56,1,18
Episodi fred i humit,NAO,Negativa,Estiu,Catalunya-Balears,2011-2020,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Catalunya-Balears,Tots,3.03,2,66
Episodi fred i humit,NAO,Negativa,Tardor,Catalunya-Balears,1981-1990,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Catalunya-Balears,1991-2000,11.76,2,17
Episodi fred i humit,NAO,Negativa,Tardor,Catalunya-Balears,2001-2010,0.0,0,18
Episodi fred i humit,NAO,Negativa,Tardor,Catalunya-Balears,2011-2020,0.0,0,15
Episodi fred i humit,NAO,Negativa,Hivern,Golf del Lleó,Tots,10.71,3,28
Episodi fred i humit,NAO,Negativa,Hivern,Golf del Lleó,1981-1990,12.5,1,8
Episodi fred i humit,NAO,Negativa,Hivern,Golf del Lleó,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Negativa,Hivern,Golf del Lleó,2001-2010,15.38,2,13
Episodi fred i humit,NAO,Negativa,Hivern,Golf del Lleó,2011-2020,0.0,0,2
Episodi fred i humit,NAO,Negativa,Primavera,Golf del Lleó,Tots,12.5,5,40
Episodi fred i humit,NAO,Negativa,Primavera,Golf del Lleó,1981-1990,41.67,5,12
Episodi fred i humit,NAO,Negativa,Primavera,Golf del Lleó,1991-2000,0.0,0,11
Episodi fred i humit,NAO,Negativa,Primavera,Golf del Lleó,2001-2010,0.0,0,10
Episodi fred i humit,NAO,Negativa,Primavera,Golf del Lleó,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Negativa,Estiu,Golf del Lleó,Tots,7.02,4,57
Episodi fred i humit,NAO,Negativa,Estiu,Golf del Lleó,1981-1990,0.0,0,12
Episodi fred i humit,NAO,Negativa,Estiu,Golf del Lleó,1991-2000,18.18,2,11
Episodi fred i humit,NAO,Negativa,Estiu,Golf del Lleó,2001-2010,5.56,1,18
Episodi fred i humit,NAO,Negativa,Estiu,Golf del Lleó,2011-2020,6.25,1,16
Episodi fred i humit,NAO,Negativa,Tardor,Golf del Lleó,Tots,9.09,6,66
Episodi fred i humit,NAO,Negativa,Tardor,Golf del Lleó,1981-1990,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Golf del Lleó,1991-2000,29.41,5,17
Episodi fred i humit,NAO,Negativa,Tardor,Golf del Lleó,2001-2010,5.56,1,18
Episodi fred i humit,NAO,Negativa,Tardor,Golf del Lleó,2011-2020,0.0,0,15
Episodi fred i humit,NAO,Negativa,Hivern,Mediterrani central occidental,Tots,7.14,2,28
Episodi fred i humit,NAO,Negativa,Hivern,Mediterrani central occidental,1981-1990,12.5,1,8
Episodi fred i humit,NAO,Negativa,Hivern,Mediterrani central occidental,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Negativa,Hivern,Mediterrani central occidental,2001-2010,7.69,1,13
Episodi fred i humit,NAO,Negativa,Hivern,Mediterrani central occidental,2011-2020,0.0,0,2
Episodi fred i humit,NAO,Negativa,Primavera,Mediterrani central occidental,Tots,7.5,3,40
Episodi fred i humit,NAO,Negativa,Primavera,Mediterrani central occidental,1981-1990,25.0,3,12
Episodi fred i humit,NAO,Negativa,Primavera,Mediterrani central occidental,1991-2000,0.0,0,11
Episodi fred i humit,NAO,Negativa,Primavera,Mediterrani central occidental,2001-2010,0.0,0,10
Episodi fred i humit,NAO,Negativa,Primavera,Mediterrani central occidental,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Negativa,Estiu,Mediterrani central occidental,Tots,0.0,0,57
Episodi fred i humit,NAO,Negativa,Estiu,Mediterrani central occidental,1981-1990,0.0,0,12
Episodi fred i humit,NAO,Negativa,Estiu,Mediterrani central occidental,1991-2000,0.0,0,11
Episodi fred i humit,NAO,Negativa,Estiu,Mediterrani central occidental,2001-2010,0.0,0,18
Episodi fred i humit,NAO,Negativa,Estiu,Mediterrani central occidental,2011-2020,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Mediterrani central occidental,Tots,3.03,2,66
Episodi fred i humit,NAO,Negativa,Tardor,Mediterrani central occidental,1981-1990,0.0,0,16
Episodi fred i humit,NAO,Negativa,Tardor,Mediterrani central occidental,1991-2000,5.88,1,17
Episodi fred i humit,NAO,Negativa,Tardor,Mediterrani central occidental,2001-2010,5.56,1,18
Episodi fred i humit,NAO,Negativa,Tardor,Mediterrani central occidental,2011-2020,0.0,0,15
Sòl molt sec,NAO,Negativa,Hivern,Llevant Ibèric,Tots,21.43,6,28
Sòl molt sec,NAO,Negativa,Hivern,Llevant Ibèric,1981-1990,25.0,2,8
Sòl molt sec,NAO,Negativa,Hivern,Llevant Ibèric,1991-2000,20.0,1,5
Sòl molt sec,NAO,Negativa,Hivern,Llevant Ibèric,2001-2010,23.08,3,13
Sòl molt sec,NAO,Negativa,Hivern,Llevant Ibèric,2011-2020,0.0,0,2
Sòl molt sec,NAO,Negativa,Primavera,Llevant Ibèric,Tots,20.0,8,40
Sòl molt sec,NAO,Negativa,Primavera,Llevant Ibèric,1981-1990,25.0,3,12
Sòl molt sec,NAO,Negativa,Primavera,Llevant Ibèric,1991-2000,18.18,2,11
Sòl molt sec,NAO,Negativa,Primavera,Llevant Ibèric,2001-2010,20.0,2,10
Sòl molt sec,NAO,Negativa,Primavera,Llevant Ibèric,2011-2020,14.29,1,7
Sòl molt sec,NAO,Negativa,Estiu,Llevant Ibèric,Tots,21.05,12,57
Sòl molt sec,NAO,Negativa,Estiu,Llevant Ibèric,1981-1990,8.33,1,12
Sòl molt sec,NAO,Negativa,Estiu,Llevant Ibèric,1991-2000,9.09,1,11
Sòl molt sec,NAO,Negativa,Estiu,Llevant Ibèric,2001-2010,27.78,5,18
Sòl molt sec,NAO,Negativa,Estiu,Llevant Ibèric,2011-2020,31.25,5,16
Sòl molt sec,NAO,Negativa,Tardor,Llevant Ibèric,Tots,21.21,14,66
Sòl molt sec,NAO,Negativa,Tardor,Llevant Ibèric,1981-1990,12.5,2,16
Sòl molt sec,NAO,Negativa,Tardor,Llevant Ibèric,1991-2000,17.65,3,17
Sòl molt sec,NAO,Negativa,Tardor,Llevant Ibèric,2001-2010,33.33,6,18
Sòl molt sec,NAO,Negativa,Tardor,Llevant Ibèric,2011-2020,20.0,3,15
Sòl molt sec,NAO,Negativa,Hivern,Catalunya-Balears,Tots,7.14,2,28
Sòl molt sec,NAO,Negativa,Hivern,Catalunya-Balears,1981-1990,12.5,1,8
Sòl molt sec,NAO,Negativa,Hivern,Catalunya-Balears,1991-2000,0.0,0,5
Sòl molt sec,NAO,Negativa,Hivern,Catalunya-Balears,2001-2010,7.69,1,13
Sòl molt sec,NAO,Negativa,Hivern,Catalunya-Balears,2011-2020,0.0,0,2
Sòl molt sec,NAO,Negativa,Primavera,Catalunya-Balears,Tots,20.0,8,40
Sòl molt sec,NAO,Negativa,Primavera,Catalunya-Balears,1981-1990,25.0,3,12
Sòl molt sec,NAO,Negativa,Primavera,Catalunya-Balears,1991-2000,36.36,4,11
Sòl molt sec,NAO,Negativa,Primavera,Catalunya-Balears,2001-2010,10.0,1,10
Sòl molt sec,NAO,Negativa,Primavera,Catalunya-Balears,2011-2020,0.0,0,7
Sòl molt sec,NAO,Negativa,Estiu,Catalunya-Balears,Tots,26.32,15,57
Sòl molt sec,NAO,Negativa,Estiu,Catalunya-Balears,1981-1990,16.67,2,12
Sòl molt sec,NAO,Negativa,Estiu,Catalunya-Balears,1991-2000,18.18,2,11
Sòl molt sec,NAO,Negativa,Estiu,Catalunya-Balears,2001-2010,38.89,7,18
